"BLV","BELLEVILLE, IL","SCOTT AFB/MIDAMERICA A/P"
"BMG","BLOOMINGTON, IN","MONROE COUNTY A/P"
"BMI","BLOOMINGTON, IL","VOR AND BLOOMINGTON A/P"
"BNA","NASHVILLE, TN","VORTAC & INTERNATIONAL A/P"
"BOI","BOISE, ID","VORTAC & A/P"
"BOS","BOSTON, MA","VORTAC & INTERNATIONAL A/P"
"BQS","BRAYMER, MO","VORTAC"
"BRK","COLORADO SPRINGS, CO","BLACK FOREST VORTAC"
"BRL","BURLINGTON, IA","VORTAC & SOUTHEAST IA  RGNL A/P"
"BRO","BROWNSVILLE, TX","VORTAC & INTERNATIONAL A/P"
"BTR","BATON ROUGE, LA","VORTAC & A/P"
"BUF","BUFFALO, NY","VOR & INTERNATIONAL A/P"
"BUM","BUTLER, MO","VORTAC & BUTLER MEMORIAL A/P"
"BUR","BURBANK, CA","A/P"
"BVO","BARTLESVILLE, OK","VOR & MUNI A/P"
"BVT","LAFAYETTE, IN","BOILER VORTAC"
"BWG","BOWLING GREEN, KY","VORTAC & REGIONAL A/P"
"BWI","BALTIMORE, MD","BALTIMORE-WASHINGTON INTERNATIONAL A/P"
"BYH","BLYTHEVILLE, AR","ARKANSAS INTERNATIONAL A/P"
"CCT","CENTRAL CITY, KY","VORTAC"
"CDS","CHILDRESS, TX","VORTAC & MUNI A/P"
"CEA","WICHITA, KS","CESSNA FIELD"
"CFV","COFFEEVILLE, KS","NDB & MUNI A/P"
"CGI","CAPE GIRARDEAU, MO","VOR/DME & MUNICIPAL A/P"
"CGT","CHICAGO HEIGHTS, IL","VORTAC"
"CHA","CHATANOOGA, TN","A/P"
"CHS","CHARLESTON, SC","VORTAC & A/P"
"CHT","CHILLICOTHE, MO","NDB"
"CID","CEDAR RAPIDS, IA","VOR/DME & MUNI A/P"
"CIM","CIMARRON, NM","VORTAC"
"CKV","CLARKSVILLE, TN","VOR & A/P"
"CLE","CLEVELAND, OH","A/P"
"CLT","CHARLOTTE, NC","VOR/DME & INTERNATIONAL A/P"
"CMH","COLUMBUS, OH","PORT COLUMBUS INTL A/P"
"CMI","CHAMPAIGN, IL","VORTAC & UNIV OF ILLINOIS WILLIARD A/P"
"CNG","PADUCAH, KY","CUNNINGHAM VORTAC"
"CNK","CONCORDIA, KS","NDB & A/P"
"CNU","CHANUTE, KS","VOR & A/P"
"COS","COLORADO SPRINGS, CO"," A/P"
"COU","COLUMBIA, MO","REGIONAL A/P & VOR/DME"
"CPR","CASPER, WY","A/P"
"CPS","ST LOUIS, IL","DOWNTOWN-PARKS A/P"
"CRP","CORPUS CHRISTI, TX","VORTAC & INTERNATIONAL A/P"
"CSX","ST LOUIS, MO","CARDINAL VOR"
"CVE","DALLAS, TX","COWBOY VOR"
"CVG","CINCINNATI, OH","VORTAC & INTERNATIONAL A/P"
"CVS","CLOVIS, NM","CANNON AFB & TACAN"
"CYS","CHEYENNE, WY","VORTAC & A/P"
"CZI","CRAZY WOMAN, WY","VOR/DME"
"DAL","DALLAS, TX","LOVE FIELD"
"DAY","DAYTON, OH","A/P"
"DBQ","DUBUQUE, IA","VORTAC & REGIONAL A/P"
"DCA","WASHINGTON, DC","NATIONAL A/P & VOR"
"DDC","DODGE CITY, KS","VORTAC & RGNL A/P"
"DEC","DECATUR, IL","VORTAC & A/P"
"DEN","DENVER, CO","VOR/DME & DENVER INTL A/P"
"DET","DETROIT, MI","DETROIT CITY A/P"
"DFW","DALLAS-FT WORTH, TX","INTERNATIONAL AIRPORT"
"DGD","DOGWOOD, MO","VORTAC"
"DHT","DALHART, TX","VORTAC & MINICIPAL A/P"
"DLH","DULUTH, MN","VORTAC & INTERNATIONAL A/P"
"DMA","TUCSON, AZ","DAVIS-MONTHAN AFB & TACAN"
"DMO","SEDALIA, MO","NDB & A/P"
"DNV","DANVILLE, IL","VORTAC & A/P"
